Prompt,#constraints,Constraint Complexity,Clarity,Prompt Complexity
Write a story about someone going on a life-changing journey. Set your story in a desert town.,2,2,5,2
"Write about someone finding a treasure in an unexpected place. Set your story in New York, where someone’s been waiting for your character.",3,3,4,2
"Write a story that hinges on the outcome of a coin flip. Lost in a foreign city where they don’t speak the language, your character uses a translation app to get around, but constantly runs into problems.",4,3,3,3
"Your character is about to embark on the journey of a lifetime. The story takes place during a long-haul flight, with an open return-date. What happens? Complete this story. It should be hypothetical.",4,4,4,4
Write about a character who can suddenly see through another person's eyes — literally. Literally means in reality.,2,2,5,2
Write a story where the power goes out on a spaceship or submarine. Tides rises unfortunately. There is water everywhere but nothing to drink.,3,3,5,3
"Write a story about friends taking a road trip they've been planning for years. There are three friends with name Ravi, Kiran and Rahul. In the story, they should ride a bike without helmet and get caught. In the story someone should strive for a ""comeback.""",4,3,4,3
"Write a story set in a world with a dying sun, or where light is a scarce resource.",2,2,5,2
"Complete the following story in hypothetical sense. It’s the last evening of your vacation and you’re watching the sunset with your friends/partner/family, wishing summer would never end. But just as the sun dips below the horizon, you notice it returning in reverse.",3,3,4,3
"Start your story with a character looking closely at something, or someone. They can't quite decide if what they're looking at is natural, or man-made.Set your story after aliens have officially arrived on Earth.",4,3,4,3
A journalist has been granted permission to visit the premises of a lab carrying out top-secret work. They could never have anticipated what they’d find… Complete this in another 4 sentences. ,3,3,5,2
Write about a character who has access to a powerful new technology before anyone else. The story should show the invention of an algorithm plays an important role.,2,2,3,3
Write about a character who wakes up in someone else’s clothes — or utterly weird apparel they don’t recognize as their own.,2,2,5,2
All clocks suddenly stop. Write about what happens next. Set your story beyond our own world.,2,2,5,2
Write a story about a team tunneling down into the centre of a planet. It should be diagramatically opposite. The story should touch upon the huge radius of the planet. ,3,2,5,3
Write a science fiction story where all human behavior can be predicted — until your character does something the algorithm did not expect.,3,3,5,2
Write about a person experiencing the 'overview effect' (a feeling astronauts report having when they first view Earth from outer space).,2,2,5,1
Write a story set in the dark recesses of space where the two main characters are often at odds with each other in humorous and comedic ways. The story should show adventure in space.,4,3,4,3
Write a short story in which you try to predict the future — and every prediction you make comes true,2,2,5,2
Write a story about a person who finds a polaroid camera that seems to predict the future: its pictures show what will happen exactly 5 minutes from the moment you take them. The story should use this camera for a positive setting.,4,3,5,4
Write about a story in which a character sits down to family dinner and notice that one of your parents has been replaced by a robot. Nobody seems to notice except for you.,3,3,5,3
"Write a poem with zero punctuation. It should have 4 stanzas, each ending with some gift",3,4,5,4
"Pick a random number between 0 to 5. Write a poem with that many stanzas. Next pick a random number between 10-20, and each of stanza should have those many words.",4,4,5,4
Write a poem about wanting something that you can't have.,2,2,5,2
Write an acrostic poem for the love interest of your story from the point of view of your protagonist.,3,3,4,4
"Write a story about a family dying for foods. Set your story in a lighthouse surrounded by powerful gale-force winds. Set your story during a month of drought — whether literal, or metaphorical. Include in your story a scene about a family's last meal before a significant change. Start your story with someone saying “I can’t sleep.”",4,5,3,5
"Write from the POV of a security guard on the night shift, sitting in front of a wall of CCTV feeds. Start or end your story with a character receiving a hug or words of comfort.",4,3,4,3
"Write a story about someone getting lost, but discovering something they didn’t expect along the way. Set your story in a rosy-pink world where everything is rainbows and unicorns… until it isn’t.",3,4,3,4
"Write about two friends who were once inseparable, but now find themselves growing apart — or even friends turned enemies.",2,3,4,3
"Write about a character unknowingly experiencing a “sliding doors” moment. Write your story in two halves; what could have been, and what actually happened.",3,4,3,4
"Write a story about someone who receives — or makes — a life-changing, anonymous donation. Set your story at an antique roadshow.",3,3,4,3
Write a story where a character must continue to tell their tale to a listener to avoid unsavory consequences. Start your story with someone entering a taxi and saying ‘follow that car.’,3,4,3,4
"Write a story where someone says, “Everything is changing.” Start your story with a home alarm system going off.",2,3,4,3
"Start your story with someone looking at a breathtaking view and getting emotional. Start your story with a character telling their best friend that their spouse is having an affair, only for their friend to “shoot the messenger”.",4,4,4,4
"Write about someone seeking an oasis in a desert — whether literally, or figuratively. Start your story with the whistle of a kettle. The story should also have a character whose job is to bring water to people.",4,3,4,3
Start your story with someone robbing a bank and end it with two people driving on an interstate. The story should have someone admitting a secret and end it with someone telling a lie.,4,4,5,4
"Write about a character who makes a dramatic life change to pursue a goal they’ve secretly always wanted. Start your story with one character telling another, “It doesn’t count if you’re already planning your defeat.”",3,4,4,4
Write a story that starts with a life-changing event. Start your story with two characters deciding to spend the night in a graveyard.,3,3,5,3
Write a story around the theme: Be careful what you wish for. It should be a literary fiction story about growing up.,2,2,5,2
"Write a short story with an unreliable narrator that readers can never quite trust. In the first sentence of your story, have the narrator tell us exactly what's going to happen — but not how it will happen.",3,3,5,3
Write a story in 2 paragraphs in which the protagonist turns into the antagonist by the end. The protagonist should die in the first paragraph.,2,2,5,2
"Write a story with the following constraint:
Title: The Whispering Forest
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 150-160 words.
Cannot use the word ""trees"".
Must include the phrase ""whispers in the wind"".",5,4,5,5
"Write a story with the following constraint:
Title: The Forgotten Ruins
Each paragraph starts with ""The"".
Total of 6 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 140-150 words.
Cannot use the word ""ancient"".
Must include the phrase ""crumbling stone walls"".",5,4,4,5
"Write a story with the following constraint:
Title: The Haunted Manor
Each paragraph starts with ""The"".
Total of 4 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 140-150 words.
Cannot use the word ""ghost"".
Must include the phrase ""chilling presence"".",5,5,5,5
"Write a story with the following constraint:
Title: The Lost City
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 150-160 words.
Cannot use the word ""discovered"".
Must include the phrase ""forgotten civilization"".",5,4,5,4
"Write a story with the following constraint:
Title: The Whispering Gallery
Each paragraph starts with ""The"".
Total of 4 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 140-150 words.
Cannot use the word ""echo"".
Must include the phrase ""mysterious whispers"".",5,4,5,5
"Write a story with the following constraint:
Title: The Hidden Temple
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 150-160 words.
Cannot use the word ""sacred"".
Must include the phrase ""ancient rituals"".",5,4,5,5
"Write a story with the following constraint:
Title: The Desolate Castle
Each paragraph starts with ""The"".
Total of 4 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 140-150 words.
Cannot use the word ""king"".
Must include the phrase ""crumbling stone towers"".",5,4,4,5
"Write a story with the following constraint:
Title: The Whispering Cavern
Each paragraph starts with ""The"".
Total of 6 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 150-160 words.
Cannot use the word ""echo"".
Must include the phrase ""mysterious whispers"".",5,5,4,5
"Write a story with the following constraint:
Title: The Enchanted Garden
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 150-160 words.
Cannot use the word ""enchanted"".
Must include the phrase ""blossoming flowers"".",5,5,5,5
"Write a story with the following constraint:
Title: The Forgotten Tomb
Each paragraph starts with ""The"".
Total of 4 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 140-150 words.
Cannot use the word ""ancient"".
Must include the phrase ""cracked stone sarcophagus"".",5,4,5,5
"Write a story with the following constraint:
Title: The Abandoned Mine
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 150-160 words.
Cannot use the word ""miners"".
Must include the phrase ""dusty tunnels"".",5,5,4,5
"Write a story with the following constraint:
Title: The Whispering Woods
Each paragraph starts with ""The"".
Total of 6 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 150-160 words.
Cannot use the word ""forest"".
Must include the phrase ""rustling leaves"".",4,5,5,5
"Write a story with the following constraint:
Title: The Forgotten Castle
Each paragraph starts with ""The"".
Total of 4 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 140-150 words.
Cannot use the word ""royal"".
Must include the phrase ""crumbling stone battlements"".",4,4,5,4
"Write a story with the following constraint:
Title: The Haunted Asylum
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 150-160 words.
Cannot use the word ""spirits"".
Must include the phrase ""haunting whispers in the halls"".",4,4,4,4
"Write a story with the following constraint:
Title: The Lost Temple
Each paragraph starts with ""The"".
Total of 6 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 150-160 words.
Cannot use the word ""ancient"".
Must include the phrase ""forgotten treasure"".
Must have a character named ""Elena"".
Include a mysterious map as a plot element.",5,5,5,4
"Write a story with the following constraint:
Title: The Whispering Woods
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 130-140 words.
Cannot use the word ""silence"".
Must include the phrase ""ancient trees"".
Ending line: ""But the secrets of the forest remained hidden.""",5,4,5,4
"Write a story with the following constraint:
Title: The Midnight Serenade
Each paragraph starts with ""The"".
Total of 3 paragraphs.
Each paragraph consists of exactly 8 sentences.
Total word count: 120-130 words.
Cannot use the word ""night"".
Must include the phrase ""melancholic melody"".
Must have a character named ""Aria"".
Ending line: ""And the song echoed through the night.""",5,5,4,5
"Write a story with the following constraint:
Title: The Haunted Manor
Each paragraph starts with ""The"".
Total of 4 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 140-150 words.
Cannot use the word ""ghost"".
Must include the phrase ""creaking floorboards"".
Must have a character named ""Victor"".
Ending line: ""And the shadows whispered of long-forgotten tales.""",5,5,5,5
"Write a story with the following constraint:
Title: The Crimson Rose
Each paragraph starts with ""The"".
Total of 6 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 150-160 words.
Cannot use the word ""flower"".
Must include the phrase ""petals of fire"".
Must have a character named ""Lillian"".
Ending line: ""And the rose bloomed amidst the flames.""",4,5,4,5
"Write a story with the following constraint:
Title: The Forgotten Castle
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 130-140 words.
Cannot use the word ""ancient"".
Must include the phrase ""crumbling walls"".
Must have a character named ""Thomas"".
Ending line: ""And the castle whispered tales of old.""",5,5,4,4
"Write a story with the following constraint:
Title: The Whispering Woods
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 130-140 words.
Cannot use the word ""silence"".
Must include the phrase ""ancient trees"".
Ending line: ""But the secrets of the forest remained hidden.""",4,5,5,5
"Write a story with the following constraint:
Title: The Haunted Manor
Each paragraph starts with ""The"".
Total of 4 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 140-150 words.
Cannot use the word ""ghost"".
Must include the phrase ""creaking floorboards"".
Must have a character named ""Victor"".
Ending line: ""And the shadows whispered of long-forgotten tales.""",5,5,5,5
"Write a story with the following constraint:
Title: The Crimson Rose
Each paragraph starts with ""The"".
Total of 6 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 150-160 words.
Cannot use the word ""flower"".
Must include the phrase ""petals of fire"".
Must have a character named ""Lillian"".
Ending line: ""And the rose bloomed amidst the flames.""",5,5,4,5
"Write a story with the following constraint:
Title: The Forgotten Castle
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 130-140 words.
Cannot use the word ""ancient"".
Must include the phrase ""crumbling walls"".
Must have a character named ""Thomas"".
Ending line: ""And the castle whispered tales of old.""",4,5,4,5
"Write a story with the following constraint:
Title: The Midnight Serenade
Each paragraph starts with ""The"".
Total of 3 paragraphs.
Each paragraph consists of exactly 8 sentences.
Total word count: 120-130 words.
Cannot use the word ""night"".
Must include the phrase ""melancholic melody"".
Must have a character named ""Aria"".
Ending line: ""And the song echoed through the night.""",5,4,4,5
"Write a story with the following constraint:
Title: The Enchanted Garden
Each paragraph starts with ""The"".
Total of 5 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 140-150 words.
Must include the phrase ""whispering flowers"".
Ending line: ""And the garden's secrets bloomed with the dawn.""",3,4,5,4
"Write a story with the following constraint:
Each paragraph starts with ""In a"".
Total of 4 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 130-140 words.
Must include the phrase ""glimmering starlight"".
Ending line: ""But the stars held their silent vigil.""",3,4,5,3
"Write a story with the following constraint:
Total of 6 paragraphs.
Each paragraph consists of exactly 8 sentences.
Total word count: 150-160 words.
Must include the phrase ""ancient book of spells"".",2,2,5,2
"Write a story with the following constraint:
Title: The Forgotten Castle
Total of 3 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 120-130 words.
Must include the phrase ""crumbling stone walls"".
Ending line: ""Yet the castle held its memories.""",3,3,4,3
"Write a story with the following constraint:
Each paragraph starts with ""Underneath"".
Total of 7 paragraphs.
Each paragraph consists of exactly 4 sentences.
Total word count: 140-150 words.
Must include the phrase ""dancing fireflies"".
Ending line: ""And the night came alive with their light.""",3,3,5,3
"Write a story with the following constraint:
Title: The Haunted Manor
Each paragraph starts with ""Amidst"".
Total of 5 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 140-150 words.
Must include the phrase ""echoes of the past"".
Ending line: ""But the whispers remained, lost in time.""",4,4,5,4
"Each paragraph starts with ""Beneath the"".
Total of 4 paragraphs.
Each paragraph consists of exactly 7 sentences.
Total word count: 130-140 words.
Cannot use the word ""hidden"".
Must include the phrase ""gleaming treasure"".",3,3,5,2
"Write a story with the following constraint:
Each paragraph starts with ""In the"".
Total of 6 paragraphs.
Each paragraph consists of exactly 8 sentences.
Total word count: 150-160 words.
Must include the phrase ""enchanted forest"".",3,3,4,3
"Write a story with the following constraint:
Title: The Moonlit Grove
Each paragraph starts with ""Bathed in"".
Total of 4 paragraphs.
Each paragraph consists of exactly 8 sentences.
All sentences have exactly 10 words.
Total word count: 160-170 words.
Must include the phrase ""silver moonlight"".
Ending line: ""Under the stars, they found their way home.""",5,5,4,5
"Write a story with the following constraint:
Title: The Whispering Winds
Each paragraph starts with ""Upon the"".
Total of 7 paragraphs.
Each paragraph consists of exactly 4 sentences.
Total word count: 140-150 words.
Must include the phrase ""whispers of destiny"".",4,4,5,4
"Write a story with the following constraint:
Each paragraph starts with ""Amongst the"".
Total of 8 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 160-170 words.
Must include the phrase ""mystical aura"".",4,3,5,3
"Write a story with the following constraint:
Each paragraph starts with ""Within these"".
Total of 6 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 150-160 words.
Must include the phrase ""fading memories"".",3,4,4,3
"Write a story with the following constraint:
Title: The Forgotten Path
Each paragraph starts with ""Lost in"".
Total of 5 paragraphs.
Each paragraph consists of exactly 7 sentences.
All sentences have an even number of words.
Total word count: 140-150 words.
Must include the phrase ""whispering winds"".
Ending line: ""And so they ventured on, into the unknown.""",5,5,4,5
"Write a story with the following constraint:
Each paragraph starts with ""Amidst the"".
Total of 6 paragraphs.
Each paragraph consists of exactly 5 sentences.
All sentences have a prime number of words.
Total word count: 150-160 words.
Must include the phrase ""silence of the night"".",4,4,5,4
"Write a story with the following constraint:
Title: The Whispering Woods
Each paragraph starts with ""In the heart of"".
Total of 7 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 155-165 words.
Cannot use the word ""tree"".
Must include the phrase ""dappled sunlight"".
Ending line: ""And so, the secrets of the woods remained hidden.""",5,5,4,5
"Write a story with the following constraint:
Each paragraph starts with ""Underneath the"".
Total of 4 paragraphs.
Each paragraph consists of exactly 9 sentences.
Total word count: 145-155 words.
All sentences have at least one punctuation mark.
Must include the phrase ""gentle rustling"".
Ending line: ""In the quietude below, mysteries await discovery.""",5,4,5,5
"Write a story with the following constraint:
Title: The Mysterious Island
Constraint: Each sentence starts with a word that begins with the next letter of the alphabet (e.g., ""A dark and stormy night..."", ""Boldly, the captain set sail..."", ""Cautiously, the crew navigated..."").
Total of 5 paragraphs.
Each paragraph consists of exactly 5 sentences.
Total word count: 200-220 words.
Must include the phrase ""treacherous terrain"".
Ending line: ""Zestfully, they zipped up their zest.""",5,5,5,5
"Write a story with the following constraint:
Title: The Time Traveler's Dilemma
Constraint: Each paragraph alternates between past and future tense (e.g., ""I was walking..."", ""I will be running..."", ""I was hiding..."", ""I will be seeking..."").
Total of 4 paragraphs.
Each paragraph consists of exactly 6 sentences.
Total word count: 180-200 words.
Cannot use the word ""time"".
Must include the phrase ""clockwork machines"".
Ending line: ""Fate had finally found me.""",5,5,4,5
"Write a story with the following constraint:
Title: The Whispering Walls
Constraint: Each sentence has exactly 15 words.
Total of 3 paragraphs.
Each paragraph consists of exactly 4 sentences.
Total word count: 180-200 words.
Must include the phrase ""echoing through eternity"".
Ending line: ""Secrets were hidden in the whispering walls forever.""",4,4,5,4
"Write a story with the following constraint:

Title: The Starlight Serenade Each sentence must contain exactly 5 words or exactly 10 words (no exceptions). The story must be written in exactly 4 paragraphs. The first and third paragraphs must contain exactly 5 sentences each. The second and fourth paragraphs must contain exactly 3 sentences each. The story must include the phrase ""cosmic rhythm beats"" exactly twice. The story cannot use the word ""dark"". The final sentence must end with the phrase ""in harmony forever"".

Good luck!",5,5,4,5
